pot,frame,depth,ln_depth,ic_weight,diversity,age,provenance,genotype,agb,bgb,rs,mean_tot_height,mean_mid_width,density,beta
1,2,6,1.791759469228055,3.497,poly,ancestral,NA,NA,8.5133,6.723999999999999,0.7898229828621098,41.95,3.0065,40,0.8940989434224859
2,1,9,2.1972245773362196,3.234,poly,ancestral,NA,NA,6.7793,4.8698,0.7183337512722552,48.729032258064514,3.100967741935484,31,0.9077037203655585
3,1,6,1.791759469228055,4.2170000000000005,poly,ancestral,NA,NA,8.1993,7.5201,0.9171636603124658,40.4875,2.67225,40,0.8954753563300393
4,2,5,1.6094379124341003,4.539,poly,ancestral,NA,NA,8.2236,6.697,0.8143635390826403,41.51538461538461,2.8743589743589744,39,0.8978741948755866
5,3,5,1.6094379124341003,3.527,poly,ancestral,NA,NA,7.8419,6.1348,0.7823104094670935,42.52820512820513,2.5184615384615383,39,0.8838069680665688
6,3,5,1.6094379124341003,3.997,poly,ancestral,NA,NA,7.9779,7.5416,0.9453114228055002,44.51794871794872,3.124102564102564,39,0.9003815754148039
7,4,5,1.6094379124341003,3.112,poly,ancestral,NA,NA,10.2011,8.1189,0.7958847575261491,45.49166666666667,2.4608333333333334,48,0.884604499860391
8,2,5.5,1.7047480922384253,3.962,poly,ancestral,NA,NA,6.504899999999999,5.6323,0.8658549708681149,46.33870967741935,2.983225806451613,31,0.9048448440987287
9,3,5.5,1.7047480922384253,4.043,poly,ancestral,NA,NA,8.8791,6.9394,0.781543174420831,38.44090909090909,2.966136363636364,44,0.9030534479644851
10,1,6.5,1.8718021769015913,3.524,poly,ancestral,NA,NA,6.2407,4.0927,0.6558078420689986,39.608823529411765,2.7658823529411767,34,0.8999398125075476
11,2,7,1.9459101490553132,3.614,poly,ancestral,NA,NA,8.959826566179538,6.5731,0.7336191109782568,47.827777777777776,3.140833333333333,36,0.8961999947309567
12,4,6,1.791759469228055,4.3420000000000005,poly,ancestral,NA,NA,7.064299999999999,5.8425,0.8270458502611725,43.86363636363637,3.4687878787878788,33,0.8958124010202446
13,4,6,1.791759469228055,3.713,poly,ancestral,NA,NA,7.272399999999999,5.6643,0.7788762994334746,43.70810810810811,2.494054054054054,37,0.8880732247825706
14,4,6.5,1.8718021769015913,3.915,poly,ancestral,NA,NA,9.0145,7.4605,0.8276110710521937,43.87435897435898,2.5692307692307694,39,0.866144330500292
15,2,4.5,1.5040773967762742,3.879,poly,ancestral,NA,NA,8.2743,6.4938,0.7848156339509083,42.46,2.614888888888889,45,0.8992372289143832
16,1,6,1.791759469228055,3.373,poly,ancestral,NA,NA,8.1409,7.255299999999999,0.8912159589234604,43.21190476190476,2.8285714285714287,42,0.8560995057384952
17,4,5,1.6094379124341003,2.796,poly,ancestral,NA,NA,8.3322,6.2699,0.7524903386860613,41.09795918367347,2.4004081632653063,49,0.868371228964027
18,4,6,1.791759469228055,3.755,poly,ancestral,NA,NA,7.8071,6.6396,0.850456635626545,44.279411764705884,3.2294117647058824,34,0.9058573917163277
19,3,5,1.6094379124341003,2.652,poly,modern,NA,NA,7.1514,5.2321,0.7316189836955002,44.27567567567568,3.2021621621621623,37,0.8990431572270863
20,4,5,1.6094379124341003,3.262,poly,modern,NA,NA,9.3166,6.5473,0.7027563703496984,42.52682926829268,2.8895121951219513,41,0.8863680946665355
21,3,4.5,1.5040773967762742,3.3,poly,modern,NA,NA,6.534000000000001,4.1914,0.6414753596571777,44.28285714285715,2.176857142857143,35,0.8522208637797516
22,4,8.5,2.1400661634962708,3.58,poly,modern,NA,NA,8.1393,5.4485,0.6694064600149889,46.39473684210526,3.2273684210526317,31,0.8730416810756206
23,1,5,1.6094379124341003,5.048,poly,modern,NA,NA,8.3497,5.1708,0.6192797346012431,44.08157894736842,2.817105263157895,38,0.8759956698596152
24,1,7,1.9459101490553132,3.205,poly,modern,NA,NA,5.6433,3.3888,0.6004997076178831,41.018181818181816,2.5215151515151515,33,0.8908452672253312
25,2,6,1.791759469228055,3.06,poly,modern,NA,NA,7.4041999999999994,5.3545,0.7231706328840388,42.35897435897436,2.65,39,0.8891161020341146
26,4,5.5,1.7047480922384253,4.047000000000001,poly,modern,NA,NA,11.858,9.605,0.8100016866250632,44.98297872340426,2.6253191489361702,47,0.8940347696390949
27,2,5,1.6094379124341003,3.244,poly,modern,NA,NA,9.8505,8.0554,0.8177655956550429,42.07727272727273,2.9329545454545456,44,0.8849786949806383
28,1,5,1.6094379124341003,3.886,poly,modern,NA,NA,9.2376,6.8217,0.7384710314367368,44.58,2.738888888888889,45,0.8827062249341359
29,3,5,1.6094379124341003,5.5889999999999995,poly,modern,NA,NA,7.4502999999999995,5.4512,0.7316752345543133,43.90555555555556,2.4594444444444443,36,0.8912519280057649
30,2,6.5,1.8718021769015913,4.292,poly,modern,NA,NA,7.862,5.6358,0.7168404986008649,41.81388888888889,2.885,36,0.8880902369469672
31,3,5.5,1.7047480922384253,3.425,poly,mixed,NA,NA,8.6202,4.7537,0.551460522957704,44.51,2.407,40,0.8320802667884303
32,3,5.5,1.7047480922384253,3.291,poly,mixed,NA,NA,4.7567,2.6691,0.5611243088695944,43.904545454545456,2.485,22,0.86837900989321
33,3,6,1.791759469228055,5.138,poly,mixed,NA,NA,9.8845,8.289399999999999,0.8386261318225504,45.077777777777776,3.1302222222222222,45,0.8822133705624248
34,2,5,1.6094379124341003,3.294,poly,mixed,NA,NA,7.474900000000001,5.9276,0.7930005752585318,42.125,2.89175,40,0.8758049616300777
35,1,6,1.791759469228055,3.475,poly,mixed,NA,NA,7.377700000000001,5.7259,0.7761090854873469,43.49189189189189,3.0056756756756755,37,0.8952233742181773
36,1,7,1.9459101490553132,4.318,poly,mixed,NA,NA,8.5376,5.5082,0.6451696026986508,43.275,2.82875,48,0.8910667279035475
37,2,5,1.6094379124341003,3.989,poly,mixed,NA,NA,9.2636,7.698,0.8309944298113044,42.00487804878049,3.104390243902439,41,0.8753055293795112
38,1,6.5,1.8718021769015913,3.269,poly,mixed,NA,NA,7.0127999999999995,5.2748,0.7521674652064796,43.33428571428571,2.612285714285714,35,0.8945834131003255
39,4,5.5,1.7047480922384253,3.0629999999999997,poly,mixed,NA,NA,8.8303,8.1448,0.9223695684178341,41.68,2.621777777777778,45,NA
40,3,6,1.791759469228055,3.294,poly,mixed,NA,NA,5.9341,4.3938,0.7404324160361301,41.87222222222222,2.3497222222222223,36,0.8921336974707316
41,1,8.5,2.1400661634962708,4.255,poly,mixed,NA,NA,6.2249,3.8553,0.6193352503654678,44.403225806451616,2.7180645161290324,31,0.8680001231778679
42,3,6,1.791759469228055,3.351,poly,mixed,NA,NA,7.708,5.2617,0.6826284379865075,44.65428571428571,2.588857142857143,35,0.8930602339437441
43,1,6,1.791759469228055,3.715,poly,mixed,NA,NA,7.399,5.3288,0.7202054331666442,43.297222222222224,3.0755555555555554,36,0.8879422323936086
44,4,5.5,1.7047480922384253,3.872,poly,mixed,NA,NA,11.0608,10.5958,0.9579596412556054,48.48717948717949,3.433076923076923,39,0.8192357295708619
45,2,4.5,1.5040773967762742,3.504,poly,mixed,NA,NA,9.0212,7.064299999999999,0.7830776393384471,38.68913043478261,3.1369565217391306,46,0.8748755589178339
46,4,5,1.6094379124341003,3.0140000000000002,poly,mixed,NA,NA,7.4617000000000004,5.5492,0.7436911159655306,39.06734693877551,2.9365306122448978,49,0.8321771278938336
47,2,5.5,1.7047480922384253,5.224,poly,mixed,NA,NA,7.710000000000001,6.9795,0.9052529182879376,41.18611111111111,2.9702777777777776,36,0.9007742140253567
48,3,5,1.6094379124341003,3.767,poly,mixed,NA,NA,7.0215000000000005,5.6276,0.8014811649932351,39.84594594594594,2.575405405405405,37,0.8812296631264932
49,1,6,1.791759469228055,4.971,mono,modern,sellman,S1CDP,9.9861,8.6949,0.8707002733799982,46.55128205128205,2.9707692307692306,39,0.8368676537303694
50,2,5.5,1.7047480922384253,4.698,mono,modern,sellman,S1CDP,8.846499999999999,7.3538,0.8312666026112022,41.83617021276596,2.7163829787234044,47,0.8842974340215513
51,3,5.5,1.7047480922384253,4.51,mono,modern,sellman,S1CDP,9.5432,7.513299999999999,0.7872935702908876,44.0575,2.527,40,0.8731896496860845
52,2,7,1.9459101490553132,3.542,mono,modern,hog,H1A1P,6.5558,5.520300000000001,0.8420482626071571,43.58387096774194,2.9125806451612903,31,0.8902657433871114
53,3,5.5,1.7047480922384253,3.709,mono,modern,hog,H1A1P,5.2608,4.6157,0.8773760644768858,43.84375,2.824375,32,0.9104760295486788
54,4,6,1.791759469228055,3.207,mono,modern,hog,H1A1P,7.5351,5.9272,0.7866119892237661,41.84418604651163,2.3265116279069766,43,0.9008678128199094
55,3,5,1.6094379124341003,3.906,mono,modern,kirkpatrick,KM1B2P,8.6068,5.7733,0.6707835664823163,45.07631578947368,3.2139473684210524,38,0.8805108075139874
56,4,6.5,1.8718021769015913,3.874,mono,modern,kirkpatrick,KM1B2P,4.505,2.5231,0.5600665926748057,45.9,3.1809523809523808,21,0.8557017462601169
57,1,6,1.791759469228055,3.454,mono,modern,kirkpatrick,KM1B2P,7.5861,4.7448,0.6254597223869972,49.785714285714285,3.162142857142857,28,0.8772489900319821
58,4,5.5,1.7047480922384253,2.084,mono,modern,corn,C1BR,5.5846,3.5438,0.6345664864090534,43.94705882352941,2.0047058823529413,34,0.8716399682022973
59,1,6,1.791759469228055,4.032,mono,modern,corn,C1BR,4.6528,3.2665,0.7020503782668501,39.98,2.4403333333333332,30,0.8911901713203906
60,2,6,1.791759469228055,2.748,mono,modern,corn,C1BR,6.8362,4.507099999999999,0.659299025774553,43.5475,2.464,40,0.8977993376863209
61,1,6,1.791759469228055,2.499,mono,modern,corn,C2BT,4.7707999999999995,3.245,0.6801794248344094,40.65862068965517,2.6520689655172416,29,0.8953528607842837
62,2,5,1.6094379124341003,2.817,mono,modern,corn,C2BT,5.5293,4.5035,0.8144792288354764,42.645161290322584,3.040967741935484,31,0.8869483218436331
