pot,frame,diversity,old_genotype,location,age,ic_weight,depth,agb,density,genotype,ln_depth,mean_mid_width,mean_bas_width,mean_tot_height,max_tot_height,bgb,rs,beta
1,2,poly,NA,NA,ancestral,3.497,6,6.9411,40,NA,1.791759469228055,3.0065,3.6805,41.95,63.9,5.1518,0.7422166515393813,0.8940989434224859
2,1,poly,NA,NA,ancestral,3.234,9,6.0997,31,NA,2.1972245773362196,3.100967741935484,3.8558064516129034,48.729032258064514,73.2,4.1902,0.6869518173024902,0.9077037203655585
3,1,poly,NA,NA,ancestral,4.2170000000000005,6,6.5623,40,NA,1.791759469228055,2.67225,3.39725,40.4875,59.1,5.8831,0.8964997028480868,0.8954753563300393
4,2,poly,NA,NA,ancestral,4.539,5,6.8213,39,NA,1.6094379124341003,2.8743589743589744,3.4525641025641023,41.51538461538461,61.7,5.2947,0.776201017401375,0.8978741948755866
5,3,poly,NA,NA,ancestral,3.527,5,6.7051,39,NA,1.6094379124341003,2.5184615384615383,3.2105128205128204,42.52820512820513,65.4,4.998,0.7454027531282159,0.8838069680665688
6,3,poly,NA,NA,ancestral,3.997,5,6.4836,39,NA,1.6094379124341003,3.124102564102564,3.602307692307692,44.51794871794872,63.5,6.0473,0.9327071380097477,0.9003815754148039
7,4,poly,NA,NA,ancestral,3.112,5,8.5806,48,NA,1.6094379124341003,2.4608333333333334,3.127291666666667,45.49166666666667,66.5,6.498399999999999,0.7573363168076823,0.884604499860391
8,2,poly,NA,NA,ancestral,3.962,5.5,5.4609,31,NA,1.7047480922384253,2.983225806451613,3.547741935483871,46.33870967741935,62.8,4.5883,0.8402094892783242,0.9048448440987287
9,3,poly,NA,NA,ancestral,4.043,5.5,7.419,44,NA,1.7047480922384253,2.966136363636364,3.5570454545454546,38.44090909090909,69.7,5.4793,0.738549669766815,0.9030534479644851
10,1,poly,NA,NA,ancestral,3.524,6.5,5.2714,34,NA,1.8718021769015913,2.7658823529411767,3.5097058823529412,39.608823529411765,60.6,3.1234,0.5925181166293585,0.8999398125075476
11,2,poly,NA,NA,ancestral,3.614,7,7.496426566179539,36,NA,1.9459101490553132,3.140833333333333,3.7805555555555554,47.827777777777776,66.5,5.1097,0.6816180956207373,0.8961999947309567
12,4,poly,NA,NA,ancestral,4.3420000000000005,6,5.8588,33,NA,1.791759469228055,3.4687878787878788,4.1860606060606065,43.86363636363637,67.3,4.637,0.7914590018433809,0.8958124010202446
13,4,poly,NA,NA,ancestral,3.713,6,6.4365,37,NA,1.791759469228055,2.494054054054054,3.17,43.70810810810811,62.2,4.8284,0.7501592480385303,0.8880732247825706
14,4,poly,NA,NA,ancestral,3.915,6.5,7.7398,39,NA,1.8718021769015913,2.5692307692307694,3.3823076923076925,43.87435897435898,68.6,6.1857999999999995,0.7992196180779865,0.866144330500292
