Site,Layer,Number,Weight,New.ID,Notes,Id,stemid,pot
S1CD,I,27,1.315,18,,S1CDI,S1CDI_18,1
S1CS,J,30,0.774,29,,S1CSJ,S1CSJ_29,1
C2B,M,26,1.038,21,,C2BM,C2BM_21,1
C1B,N,13,0.37,9,,C1BN,C1BN_9,1
S1CD,I,43,0.348,32,,S1CDI,S1CDI_32,2
C2B,M,25,1.366,20,,C2BM,C2BM_20,2
C1B,L,28,0.6,16,,C1BL,C1BL_16,2
S1CS,K,12,0.92,11,,S1CSK,S1CSK_11,2
S1CD,I,15,1.028,11,,S1CDI,S1CDI_11,3
C1B,L,31,0.56,17,,C1BL,C1BL_17,3
C2B,L,22,1.439,18,,C2BL,C2BL_18,3
C1B,N,29,1.19,21,,C1BN,C1BN_21,3
S1CD,I,51,1.272,40,,S1CDI,S1CDI_40,4
C2B,M,16,0.953,12,,C2BM,C2BM_12,4
C2B,L,21,1.364,17,,C2BL,C2BL_17,4
S1CS,K,51,0.95,40,,S1CSK,S1CSK_40,4
C2B,M,29,0.862,24,,C2BM,C2BM_24,5
C2B,L,4,1.125,3,,C2BL,C2BL_3,5
S1CS,K,8,0.98,8,,S1CSK,S1CSK_8,5
C1B,N,7,0.56,4,,C1BN,C1BN_4,5
S1CS,J,11,0.818,11,,S1CSJ,S1CSJ_11,6
C2B,M,8,0.808,7,,C2BM,C2BM_7,6
C2B,L,20,1.191,16,,C2BL,C2BL_16,6
S1CS,K,22,1.18,20,,S1CSK,S1CSK_20,6
S1CD,I,20,0.866,15,,S1CDI,S1CDI_15,7
S1CS,J,40,0.586,37,,S1CSJ,S1CSJ_37,7
S1CS,K,3,0.64,3,,S1CSK,S1CSK_3,7
C1B,N,38,1.02,28,,C1BN,C1BN_28,7
C2B,M,40,0.66,34,,C2BM,C2BM_34,8
C1B,L,52,1.332,36,,C1BL,C1BL_36,8
S1CS,K,5,1.07,5,,S1CSK,S1CSK_5,8
C1B,N,34,0.9,25,,C1BN,C1BN_25,8
S1CS,J,49,0.822,43,,S1CSJ,S1CSJ_43,9
C2B,M,42,0.725,36,,C2BM,C2BM_36,9
C1B,L,43,1.266,27,,C1BL,C1BL_27,9
C2B,L,8,1.23,7,,C2BL,C2BL_7,9
S1CS,J,14,0.404,14,,S1CSJ,S1CSJ_14,10
C1B,L,38,0.84,23,,C1BL,C1BL_23,10
S1CS,K,4,1.16,4,,S1CSK,S1CSK_4,10
C1B,N,44,1.12,34,,C1BN,C1BN_34,10
S1CD,I,1,0.773,1,,S1CDI,S1CDI_1,11
C2B,M,41,0.721,35,,C2BM,C2BM_35,11
S1CS,K,13,1.16,12,,S1CSK,S1CSK_12,11
C1B,N,19,0.96,13,,C1BN,C1BN_13,11
S1CS,J,12,0.707,12,,S1CSJ,S1CSJ_12,12
C1B,L,33,1.532,19,,C1BL,C1BL_19,12
C2B,L,14,1.423,12,,C2BL,C2BL_12,12
C1B,N,18,0.68,12,,C1BN,C1BN_12,12
S1CD,I,6,0.801,5,,S1CDI,S1CDI_5,13
S1CS,J,1,0.808,1,,S1CSJ,S1CSJ_1,13
C1B,L,45,1.024,29,,C1BL,C1BL_29,13
C1B,N,30,1.08,22,,C1BN,C1BN_22,13
S1CD,I,42,0.631,31,,S1CDI,S1CDI_31,14
S1CS,J,27,1.074,27,,S1CSJ,S1CSJ_27,14
C1B,L,15,1.5,9,,C1BL,C1BL_9,14
C2B,L,23,0.71,19,,C2BL,C2BL_19,14
S1CD,I,50,1.098,39,,S1CDI,S1CDI_39,15
S1CS,J,17,0.982,17,,S1CSJ,S1CSJ_17,15
C2B,M,19,0.622,15,,C2BM,C2BM_15,15
C2B,L,47,1.177,37,,C2BL,C2BL_37,15
C1B,L,34,0.798,20,,C1BL,C1BL_20,16
C2B,L,50,0.955,40,,C2BL,C2BL_40,16
S1CS,K,21,0.58,19,,S1CSK,S1CSK_19,16
C1B,N,6,1.04,3,,C1BN,C1BN_3,16
S1CD,I,33,0.826,22,,S1CDI,S1CDI_22,17
S1CS,J,9,1.039,9,,S1CSJ,S1CSJ_9,17
