frame,position,pot,age,diversity,genotype,old_genotype,location,depth_seed,density_orig_live,density_orig_dead,abg_biomass_orig,harvest_date,density_newgrowth,abg_biomass_new,allom_1,allom_2,allom_3,allom_4,allom_5,total_biomass,depth,notes
1,1,71,modern,mono,139,C3AS,corn,0,31,2,4.59,7/30/18,9,0.1832,0.0931,0.2134,0.1195,0.1271,0.0242,5.1673,7.5,
1,2,41,mix,poly,NA,NA,NA,NA,31,3,4.31,7/30/18,9,0.2322,0.0484,0.2669,0.3702,0.1849,0.2093,5.3897,8.5,
1,3,85,ancestral,mono,136,S1CDI,sellman,15.25,47,9,5.84,7/30/18,18,0.6507,0.0747,0.1341,0.0072,0.0481,0.2385,6.3426,5,
1,4,28,modern,poly,NA,NA,NA,NA,45,6,6.95,7/30/18,13,0.7340,0.2394,0.0269,0.2506,0.1745,0.2272,7.8686,5,
1,5,94,ancestral,mono,135,C4BM,corn,10.25,26,1,3.01,7/30/18,11,0.5422,0.0527,0.1869,0.0854,0.2009,0.1669,3.7028,7,
1,6,10,ancestral,poly,NA,NA,NA,NA,34,4,4.27,7/30/18,17,0.6937,0.1749,0.2465,0.1156,0.2232,0.2412,5.2714,6.5,
1,7,59,modern,mono,127,C1BR,corn,0,30,1,3.81,7/30/18,17,0.4646,0.0324,0.0082,0.1441,0.0775,0.1957,4.2679,6,
1,8,3,ancestral,poly,NA,NA,NA,NA,40,3,5.77,7/30/18,17,0.7331,0.3512,0.1030,0.1823,0.0459,0.1099,6.5623,6,
1,9,73,ancestral,mono,137,C1BN,corn,9.5,39,5,5.84,7/30/18,21,0.9135,0.1962,0.1725,0.2318,0.1759,0.1746,6.7910,5,
1,10,61,modern,mono,128,C2BT,corn,0,29,1,3.29,7/30/18,12,0.4448,0.0247,0.1464,0.1060,0.1750,0.2406,3.9827,6,
1,11,24,modern,poly,NA,NA,NA,NA,33,2,4.12,7/30/18,14,0.5959,0.0829,0.1844,0.0934,0.2436,0.3087,5.0330,7,
1,12,91,ancestral,mono,138,C2BL,corn,16.75,44,3,5.50,7/30/18,23,1.1013,0.0389,0.0734,0.2183,0.3490,0.3454,6.5250,5,
1,13,23,modern,poly,NA,NA,NA,NA,38,3,6.63,7/30/18,20,0.8328,0.0442,0.2510,0.1323,0.1800,0.0395,7.2770,5,
1,14,49,modern,mono,142,S1CDP,sellman,0,39,3,7.08,7/30/18,10,0.6220,0.3916,0.2944,0.2104,0.2204,0.4466,8.6434,6,
1,15,38,mix,poly,NA,NA,NA,NA,35,4,5.18,7/30/18,16,0.6868,0.1805,0.1292,0.1470,0.1137,0.0866,5.8370,6.5,
1,16,2,ancestral,poly,NA,NA,NA,NA,31,2,5.34,7/31/18,13,0.6957,0.2329,0.1470,0.0679,0.2065,0.1054,6.0997,9,
1,17,43,mix,poly,NA,NA,NA,NA,36,1,5.89,7/31/18,12,0.5039,0.1938,0.0074,0.1655,0.0819,0.1604,6.4990,6,
