date,frame,position,pot,age,diversity,genotype,old_genotype,location,depth_seed,stem,dead,tot_height,grn_height,bas_width,mid_width,flower,cut,dna,allomet,allom_wt,notes,
211,1,1,71,modern,mono,139,C3AS,corn,0,1,0,5.5,5.5,2.54,1.51,0,0,NA,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,2,0,36.6,35,2.03,1.92,0,0,NA,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,3,0,51,51,3.34,2.55,0,0,1,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,4,0,39.8,39.8,3.1,2.37,0,0,NA,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,5,0,40,40,2.76,2.12,0,0,1,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,6,0,31,29.5,2.75,2.05,0,1,NA,1,0.0931,,
211,1,1,71,modern,mono,139,C3AS,corn,0,7,0,53.4,52.1,2.81,2.52,0,0,NA,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,8,0,51,51,3.24,2.84,0,0,NA,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,9,0,47.5,47.5,4.26,3.55,0,0,NA,2,0.2134,,
211,1,1,71,modern,mono,139,C3AS,corn,0,10,0,44.6,43.6,2.55,2.18,0,0,NA,3,0.1195,,
211,1,1,71,modern,mono,139,C3AS,corn,0,11,0,14.4,14.4,3.73,3.22,1,0,1,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,12,0,59.8,59.1,4.63,3.5,1,0,NA,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,13,0,59.5,59.5,4.29,3.41,1,0,NA,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,14,0,3.1,3.1,1.72,1.64,0,0,NA,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,15,0,18,18,5.1,3.35,1,0,1,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,16,0,59.5,57,4.5,3.6,0,0,1,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,17,0,45,26.6,2.85,2.74,0,2,NA,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,18,0,52.4,52.4,2.44,2.06,0,0,NA,4,0.1271,,
211,1,1,71,modern,mono,139,C3AS,corn,0,19,0,57.1,57.1,4.31,4.31,1,0,NA,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,20,0,54.5,54.5,3.26,2.77,0,0,1,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,21,0,67.5,66.9,3.59,3.03,1,0,NA,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,22,0,47.9,45.2,2.81,2.67,0,0,1,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,23,0,67.5,66.8,3.76,3.03,1,0,1,NA,NA,twist,
211,1,1,71,modern,mono,139,C3AS,corn,0,24,0,10.8,10.8,3.18,1.86,1,0,NA,5,0.0242,,
211,1,1,71,modern,mono,139,C3AS,corn,0,25,0,33.4,33.4,3.28,2.13,1,0,1,NA,NA,twist,
211,1,1,71,modern,mono,139,C3AS,corn,0,26,0,65.5,64.9,4.4,3.91,1,0,1,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,27,0,64.9,63.9,3.9,3.88,0,0,1,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,28,0,27.9,27.9,2.83,2.31,0,0,NA,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,29,0,65.5,65,3.77,3.25,0,0,1,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,30,0,70.4,70,3.79,3.44,0,0,NA,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,31,0,57.5,57,3.52,2.7,1,0,NA,NA,NA,twist,
211,1,1,71,modern,mono,139,C3AS,corn,0,1,1,17,NA,NA,NA,NA,NA,NA,NA,NA,,
211,1,1,71,modern,mono,139,C3AS,corn,0,2,1,26.6,NA,NA,NA,NA,NA,NA,NA,NA,,
211,1,2,41,mix,poly,NA,NA,NA,NA,1,0,55.9,55.9,3.52,2.7,0,0,NA,NA,NA,,
211,1,2,41,mix,poly,NA,NA,NA,NA,2,0,35.2,30.9,2.58,2.52,0,0,1,NA,NA,,
211,1,2,41,mix,poly,NA,NA,NA,NA,3,0,61,60.5,3.35,2.68,0,0,NA,NA,NA,,
211,1,2,41,mix,poly,NA,NA,NA,NA,4,0,53.4,52.1,2.45,2.27,0,0,1,NA,NA,,
211,1,2,41,mix,poly,NA,NA,NA,NA,5,0,24.1,24.1,3.17,2.58,1,0,1,NA,NA,,
211,1,2,41,mix,poly,NA,NA,NA,NA,6,0,26.7,26.7,2.39,2.05,1,0,NA,1,0.0484,,
211,1,2,41,mix,poly,NA,NA,NA,NA,7,0,50.5,50.5,2.38,2.05,1,0,1,NA,NA,,
211,1,2,41,mix,poly,NA,NA,NA,NA,8,0,47.2,47.2,3.78,2.85,0,0,1,NA,NA,,
211,1,2,41,mix,poly,NA,NA,NA,NA,9,0,30.3,24,2.09,1.41,0,2,NA,NA,NA,,
211,1,2,41,mix,poly,NA,NA,NA,NA,10,0,30.5,30.5,3.44,2.49,1,0,1,NA,NA,,
211,1,2,41,mix,poly,NA,NA,NA,NA,11,0,54.4,54.4,3.18,2.76,1,0,NA,NA,NA,,
211,1,2,41,mix,poly,NA,NA,NA,NA,12,0,40.9,38.7,2.87,2.48,0,0,1,NA,NA,,
211,1,2,41,mix,poly,NA,NA,NA,NA,13,0,54.2,53.1,3.54,2.81,0,0,NA,NA,NA,,
211,1,2,41,mix,poly,NA,NA,NA,NA,14,0,34.9,29.3,2.92,2.75,0,0,1,NA,NA,,
211,1,2,41,mix,poly,NA,NA,NA,NA,15,0,41.3,41.3,3.4,2.82,1,0,NA,NA,NA,,
211,1,2,41,mix,poly,NA,NA,NA,NA,16,0,56.5,56.5,4.3,3.37,0,0,NA,NA,NA,,
211,1,2,41,mix,poly,NA,NA,NA,NA,17,0,9.1,9.1,3.8,2.1,1,0,NA,NA,NA,,
211,1,2,41,mix,poly,NA,NA,NA,NA,18,0,53.1,51.9,3.87,3.27,0,0,1,NA,NA,,
211,1,2,41,mix,poly,NA,NA,NA,NA,19,0,42.5,42.5,3.64,2.86,0,0,1,NA,NA,,
211,1,2,41,mix,poly,NA,NA,NA,NA,20,0,56.9,56.9,3.88,3.49,1,0,NA,2,0.2669,,
211,1,2,41,mix,poly,NA,NA,NA,NA,21,0,59.4,59.4,4.21,3.44,1,0,NA,3,0.3702,,
211,1,2,41,mix,poly,NA,NA,NA,NA,22,0,50.2,50.2,3.08,2.43,0,0,NA,4,0.1849,,
211,1,2,41,mix,poly,NA,NA,NA,NA,23,0,49.7,48.1,3.09,2.82,0,0,NA,NA,NA,,
