Frame,Position,Pot,PotPos,Id,Number,Stems,Dead,Weight
1,1,71,1,C3AS,4,1,0,
1,1,71,2,C3AS,3,1,0,
1,1,71,3,C3AS,7,1,0,
1,1,71,4,C3AS,11,1,0,
1,2,41,1,S1CDI,9,2,0,
1,2,41,2,C2BM,39,1,0,
1,2,41,3,C2BT,9,1,0,
1,2,41,4,S1ADN,32,1,0,
1,3,85,1,S1CDI,38,2,0,
1,3,85,2,S1CDI,14,2,0,
1,3,85,3,S1CDI,26,1,0,
1,3,85,4,S1CDI,30,1,0,
1,4,28,1,C1BP,13,2,1,
1,4,28,2,C1BR,21,1,0,
1,4,28,3,C2BT,13,1,0,
1,4,28,4,S1ADN,17,1,0,
1,5,94,2,C4BM,15,2,1,
1,5,94,4,C4BM,7,2,1,
1,5,94,1,C4BM,6,2,0,
1,5,94,3,C4BM,13,2,0,
1,6,10,4,C1BN,34,2,1,
1,6,10,1,S1CSJ,14,1,0,
1,6,10,2,C1BL,23,1,0,
1,6,10,3,S1CSK,4,1,0,
1,7,59,1,C1BR,5,1,0,
1,7,59,2,C1BR,13,1,0,
1,7,59,3,C1BR,19,2,0,
1,7,59,4,C1BR,4,1,0,
1,8,3,1,C2BL,18,2,0,
1,8,3,2,S1CDI,11,1,0,
1,8,3,3,C1BL,17,1,0,
1,8,3,4,C1BN,21,1,0,
1,9,73,1,C1BN,37,1,0,
1,9,73,2,C1BN,15,1,0,
1,9,73,3,C1BN,14,2,0,
1,9,73,4,C1BN,18,1,0,
1,10,61,1,C2BT,16,2,1,
1,10,61,2,C2BT,4,1,0,
1,10,61,3,C2BT,29,1,0,
1,10,61,4,C2BT,19,1,0,
1,11,24,1,S1CDP,26,2,0,
1,11,24,2,C1BP,14,1,0,
1,11,24,3,KM1B2P,15,2,0,
1,11,24,4,C2BT,15,1,0,
1,12,91,1,C2BL,33,1,0,
1,12,91,2,C2BL,13,2,0,
1,12,91,3,C2BL,41,1,0,
1,12,91,4,C2BL,2,1,0,
1,13,23,1,S1CDP,12,2,0,
1,13,23,2,KM1B2P,9,1,0,
1,13,23,3,C2BT,1,1,0,
1,13,23,4,S1ADN,24,1,0,
1,14,49,1,S1CDP,19,2,0,
1,14,49,2,S1CDP,29,1,0,
1,14,49,3,S1CDP,10,1,0,
1,14,49,4,S1CDP,28,2,0,
1,15,22,1,S1CDP,16,2,1,
1,15,22,2,H1A1P,2,1,0,
1,15,22,3,KM1B2P,1,1,0,
1,15,22,4,C2BT,25,2,0,
1,16,2,1,S1CDI,32,2,0,
1,16,2,2,C2BM,20,1,0,
1,16,2,3,C1BL,16,1,0,
1,16,2,4,S1CSK,11,1,0,
1,17,43,1,S1CSJ,3,2,0,
1,17,43,2,S1CDI,13,2,0,
1,17,43,3,C1BR,15,1,0,
1,17,43,4,S1ADN,1,1,0,
1,18,81,1,C1BL,14,2,1,
1,18,81,2,C1BL,4,1,0,
1,18,81,3,C1BL,34,1,0,
1,18,81,4,C1BL,3,1,0,
1,19,35,1,C2BL,25,2,0,
1,19,35,2,C2BM,13,2,0,
1,19,35,3,C2BT,14,1,0,
1,19,35,4,S1ADN,10,1,0,
1,20,36,2,C1BP,26,2,1,
1,20,36,3,C2BM,32,2,1,
1,20,36,1,S1CDP,39,1,0,
1,20,36,4,S1CSK,39,1,0,
1,21,57,1,KM1B2P,10,1,0,
1,21,57,2,KM1B2P,18,1,0,
1,21,57,3,KM1B2P,6,1,0,
1,21,57,4,KM1B2P,5,1,0,
1,22,69,1,C1BP,30,2,0,
1,22,69,2,C1BP,27,2,0,
1,22,69,3,C1BP,5,1,0,
1,22,69,4,C1BP,8,2,0,
1,23,16,1,C2BL,40,1,0,
1,23,16,2,C1BL,20,1,0,
1,23,16,3,S1CSK,19,1,0,
1,23,16,4,C1BN,3,1,0,
1,24,83,1,C2BM,11,1,0,
1,24,83,2,C2BM,28,1,0,
1,24,83,3,C2BM,4,2,0,
1,24,83,4,C2BM,1,1,0,
2,1,50,2,S1CDP,33,2,1,
2,1,50,1,S1CDP,32,2,0,
2,1,50,3,S1CDP,8,2,0,
2,1,50,4,S1CDP,27,1,0,
2,2,27,3,C2BT,20,2,1,
2,2,27,1,S1CDP,24,1,0,
2,2,27,2,C1BP,2,1,0,
2,2,27,4,S1ADN,26,1,0,
2,3,4,2,S1CDI,40,2,1,
2,3,4,1,C2BL,17,1,0,
2,3,4,3,C2BM,12,2,0,
2,3,4,4,S1CSK,40,1,0,
2,4,47,1,S1CDP,35,1,0,
2,4,47,2,H1A1P,8,1,0,
