Site,Layer,Number,Weight,New ID,Notes
S1CD,I,1,0.773,1,
S1CD,I,2,0.893,2,
S1CD,I,3,1.628,3,
S1CD,I,4,1.362,4,
S1CD,I,5,0.249,dead,
S1CD,I,6,0.801,5,
S1CD,I,7,1.594,6,
S1CD,I,8,1.003,dead,
S1CD,I,9,1.236,dead,
S1CD,I,10,0.87,dead,
S1CD,I,11,1.1,7,
S1CD,I,12,0.582,8,
S1CD,I,13,1.259,9,
S1CD,I,14,1.12,10,
S1CD,I,15,1.028,11,
S1CD,I,16,1.357,12,
S1CD,I,17,0.491,dead,
S1CD,I,18,0.807,13,
S1CD,I,19,0.763,14,
S1CD,I,20,0.866,15,
S1CD,I,21,0.58,16,
S1CD,I,22,0.365,dead,
S1CD,I,23,0.731,dead,
S1CD,I,24,0.467,dead,
S1CD,I,25,0.635,dead,
S1CD,I,26,0.571,17,
S1CD,I,27,1.315,18,
S1CD,I,28,0.778,19,
S1CD,I,29,1.17,20,
S1CD,I,30,0.678,dead,
S1CD,I,31,0.75,dead,
S1CD,I,32,0.914,21,
S1CD,I,33,0.826,22,
S1CD,I,34,0.606,23,
S1CD,I,35,1.498,24,
S1CD,I,36,0.58,25,
S1CD,I,37,0.504,26,
S1CD,I,38,0.765,27,
S1CD,I,39,1.132,28,
S1CD,I,40,1.07,29,
S1CD,I,41,0.317,30,
S1CD,I,42,0.631,31,
S1CD,I,43,0.348,32,
S1CD,I,44,0.819,33,
S1CD,I,45,0.605,34,
S1CD,I,46,0.668,35,
S1CD,I,47,0.401,36,
S1CD,I,48,0.756,37,
S1CD,I,49,1.146,38,
S1CD,I,50,1.098,39,
S1CD,I,51,1.272,40,
S1CD,I,52,0.564,41,
S1CD,I,53,0.713,dead,
C4B,M,1,0.739,1,
C4B,M,2,1.105,2,
C4B,M,3,0.588,dead,
C4B,M,4,0.85,3,
C4B,M,5,0.497,4,
C4B,M,6,0.886,5,
C4B,M,7,0.493,dead,
C4B,M,8,0.305,6,
C4B,M,9,0.482,7,
C4B,M,10,0.261,dead,
C4B,M,11,0.544,8,
C4B,M,12,0.183,9,
C4B,M,13,0.899,10,
C4B,M,14,1.023,11,
C4B,M,15,0.413,dead,
C4B,M,16,0.582,12,
C4B,M,17,0.726,13,
C4B,M,18,0.767,14,
C4B,M,19,0.68,15,
C4B,M,20,0.315,dead,
C4B,M,21,0.358,16,
14-16,D,1,1.752,1,
14-16,D,2,1.298,dead,
14-16,D,3,1.063,2,
14-16,D,4,0.514,dead,
14-16,D,5,1.297,dead,
14-16,D,6,0.388,dead,
14-16,D,7,1.458,3,
14-16,D,8,1.631,4,
14-16,D,9,2.25,dead,
14-16,D,10,0.718,dead,
14-16,D,11,1.14,dead,
14-16,D,12,0.658,dead,
14-16,D,13,1.486,5,
14-16,D,14,2.339,dead,
20-22,-,1,0.183,1,
20-22,-,2,0.812,2,
20-22,-,3,0.698,dead,
20-22,-,4,0.42,3,
20-22,-,5,0.946,4,
20-22,-,6,1.238,5,
20-22,-,7,0.973,6,
20-22,-,8,0.787,7,
20-22,-,9,0.899,8,
20-22,-,10,0.306,dead,
20-22,-,11,0.277,dead,
20-22,-,12,0.628,dead,no stem
20-22,-,13,1.183,9,
20-22,-,14,0.503,dead,
20-22,-,15,0.499,dead,
20-22,-,16,0.808,dead,
20-22,-,17,0.74,10,
20-22,-,18,0.416,11,
20-22,-,19,0.798,12,
20-22,-,20,0.409,dead,
20-22,-,21,0.741,13,
20-22,-,22,0.272,dead,
C1B,P,1,1.001,1,
C1B,P,2,1.348,dead,
C1B,P,3,0.548,2,
C1B,P,4,1.431,3,
