pot_no,genotype,provenance,age,elevation,salinity,co2,comp,agb_scam,total_bg
1,cm4,corn,modern,0.533,fresh,ambient,1,0.466,2.694
2,ka5,kirkpatrick,ancestral,0.533,fresh,ambient,0,2.169,4.647
3,b3,blackwater,modern,0.533,fresh,ambient,0,2.777,5.4079999999999995
4,cm3,corn,modern,0.533,fresh,ambient,0,3.019,7.052
5,ca1,corn,ancestral,0.533,fresh,ambient,0,0.825,2.477
6,cm1,corn,modern,0.533,fresh,ambient,0,4.6979999999999995,7.433
7,km5,kirkpatrick,modern,0.533,fresh,ambient,0,5.192,8.528
8,ca7,corn,ancestral,0.533,fresh,ambient,1,3.7319999999999998,11.101
9,cm6,corn,modern,0.43033333333333335,fresh,ambient,1,5.838,10.592
10,cm10,corn,modern,0.43033333333333335,fresh,ambient,0,5.9750000000000005,8.091
11,cm2,corn,modern,0.43033333333333335,fresh,ambient,0,3.453,5.549
12,ca4,corn,ancestral,0.43033333333333335,fresh,ambient,1,5.796,10.432
13,ca8,corn,ancestral,0.43033333333333335,fresh,ambient,1,6.928,9.845
14,km6,kirkpatrick,modern,0.43033333333333335,fresh,ambient,0,4.382,5.4830000000000005
15,ka4,kirkpatrick,ancestral,0.43033333333333335,fresh,ambient,0,7.572,14.134
16,ca7,corn,ancestral,0.43033333333333335,fresh,ambient,0,5.569,12.359
17,cm7,corn,modern,0.32833333333333337,fresh,ambient,0,4.160942397316118,6.183
18,ca8,corn,ancestral,0.32833333333333337,fresh,ambient,1,9.624,10.188
19,ca6,corn,ancestral,0.32833333333333337,fresh,ambient,0,5.247976296979281,7.6450000000000005
20,cm5,corn,modern,0.32833333333333337,fresh,ambient,0,5.138937080792796,6.102
21,ka6,kirkpatrick,ancestral,0.32833333333333337,fresh,ambient,0,5.795,6.747
22,cm1,corn,modern,0.32833333333333337,fresh,ambient,1,4.3100000000000005,5.92
23,km2,kirkpatrick,modern,0.32833333333333337,fresh,ambient,0,7.567,9.515
24,ca5,corn,ancestral,0.32833333333333337,fresh,ambient,1,5.737,6.236
25,ca10,corn,ancestral,0.23233333333333336,fresh,ambient,1,3.574,3.073
26,ca4,corn,ancestral,0.23233333333333336,fresh,ambient,0,6.852689623211032,7.004
27,km1,kirkpatrick,modern,0.23233333333333336,fresh,ambient,0,8.508000000000001,9.387
28,cm8,corn,modern,0.23233333333333336,fresh,ambient,1,0,0.797
29,ca3,corn,ancestral,0.23233333333333336,fresh,ambient,1,0,0.9570000000000001
30,cm4,corn,modern,0.23233333333333336,fresh,ambient,0,4.746553395528888,5.226000000000001
31,cm3,corn,modern,0.23233333333333336,fresh,ambient,0,8.331902772010398,10.335999999999999
32,b2,blackwater,modern,0.23233333333333336,fresh,ambient,0,0,NA
33,ca2,corn,ancestral,0.11900000000000004,fresh,ambient,1,0,NA
34,cm7,corn,modern,0.11900000000000004,fresh,ambient,1,0,NA
35,ca9,corn,ancestral,0.11900000000000004,fresh,ambient,0,0,NA
36,ka2,kirkpatrick,ancestral,0.11900000000000004,fresh,ambient,0,0,NA
37,cm9,corn,modern,0.11900000000000004,fresh,ambient,1,2.238,1.187
38,km5,kirkpatrick,modern,0.11900000000000004,fresh,ambient,0,0,NA
39,ca10,corn,ancestral,0.11900000000000004,fresh,ambient,0,0,NA
40,cm6,corn,modern,0.11900000000000004,fresh,ambient,0,2.157,2.089
41,b4,blackwater,modern,0.01666666666666669,fresh,ambient,0,0,NA
42,km3,kirkpatrick,modern,0.01666666666666669,fresh,ambient,0,0,NA
43,ka1,kirkpatrick,ancestral,0.01666666666666669,fresh,ambient,0,0,NA
44,cm10,corn,modern,0.01666666666666669,fresh,ambient,1,0,NA
45,ca1,corn,ancestral,0.01666666666666669,fresh,ambient,0,0,NA
46,ca10,corn,ancestral,0.01666666666666669,fresh,ambient,1,0,NA
47,cm2,corn,modern,0.01666666666666669,fresh,ambient,0,0,NA
48,ca2,corn,ancestral,0.01666666666666669,fresh,ambient,1,0,NA
49,cm1,corn,modern,0.518,fresh,elevated,1,1.419,7.132
50,ca6,corn,ancestral,0.518,fresh,elevated,1,0.881,4.838
51,km2,kirkpatrick,modern,0.518,fresh,elevated,0,4.026,7.425
52,ca3,corn,ancestral,0.518,fresh,elevated,0,2.77,8.568999999999999
53,ka6,kirkpatrick,ancestral,0.518,fresh,elevated,0,3.8369999999999997,6.716
54,ca7,corn,ancestral,0.518,fresh,elevated,0,5.628,11.643
55,cm7,corn,modern,0.518,fresh,elevated,1,0.687,6.54
56,cm6,corn,modern,0.518,fresh,elevated,0,3.613,9.370000000000001
57,cm7,corn,modern,0.4086666666666667,fresh,elevated,0,3.96,6.556
58,cm8,corn,modern,0.4086666666666667,fresh,elevated,1,1.853,5.828
59,ka4,kirkpatrick,ancestral,0.4086666666666667,fresh,elevated,0,3.261,7.719
60,ca1,corn,ancestral,0.4086666666666667,fresh,elevated,1,2.3169999999999997,4.755
61,ca6,corn,ancestral,0.4086666666666667,fresh,elevated,1,4.201,10.291
62,ca5,corn,ancestral,0.4086666666666667,fresh,elevated,0,4.625,12.001
63,cm10,corn,modern,0.4086666666666667,fresh,elevated,0,6.812,10.286
64,km3,kirkpatrick,modern,0.4086666666666667,fresh,elevated,0,8.413,16.029
65,b2,blackwater,modern,0.30733333333333335,fresh,elevated,0,5.867999999999999,7.263000000000001
66,km5,kirkpatrick,modern,0.30733333333333335,fresh,elevated,0,7.398999999999999,10.828
67,ca8,corn,ancestral,0.30733333333333335,fresh,elevated,0,6.718019824450602,8.012
