pot_no,nh4,beta,bg_scam10,bg_sppa10,total_bg,site_frame,level,position,co2,salinity,comp,elevation,genotype,location,depth_seed,cohort,origin_lab,date_cloned_grp,date_planted_grp,weight_init,width_init,nodes_init,agb_scam,agb_sppa,dens_scam_live,dens_scam_dead,height_sppa,height_scam_tot,height_scam_grn,width_scam_mid,width_scam_bas,prop_twist,soil_to_pot,id,extinct,age
1,NA,NA,0.396,1.033,2.694,fresh_1,1,1,ambient,fresh,1,0.533,cm4,corn,0,corn_modern,utk,3,2,0.472,1.27,2,0.466,1.098,4,1,45.5,41.75,41.625,1.9749999999999999,2,0,5.5,fresh_1_1_1,0,modern
2,NA,0.9403691847867649,2.356,NA,4.647,fresh_1,1,2,ambient,fresh,0,0.533,ka5,kirkpatrick,20,kirk_ancestral,nd,3,2,0.611,1.77,2,2.169,0,14,1,NA,40.333333333333336,39.86666666666667,2.46,2.6733333333333333,0,6.5,fresh_1_1_2,0,ancestral
3,NA,0.9264260897398104,3.129,NA,5.4079999999999995,fresh_1,1,3,ambient,fresh,0,0.533,b3,blackwater,8,blackwater,nd,2,1,0.618,2.46,1,2.777,0,23,1,NA,32.45652173913044,31.97826086956522,2.356521739130435,2.6695652173913045,0.043478260869565216,5.5,fresh_1_1_3,0,modern
4,NA,0.9505587715198895,1.9,NA,7.052,fresh_1,1,4,ambient,fresh,0,0.533,cm3,corn,0,corn_modern,utk,1,1,0.153,1.07,1,3.019,0,15,3,NA,38.5,34.93333333333333,3.1,3.6533333333333333,0.06666666666666667,5,fresh_1_1_4,0,modern
5,NA,0.9587590544724058,0.7080000000000001,NA,2.477,fresh_1,1,5,ambient,fresh,0,0.533,ca1,corn,20.75,corn_ancestral,utk,1,1,0.437,1.24,1,0.825,0,5,1,NA,40.583333333333336,38,2.9166666666666665,2.9166666666666665,0,6.5,fresh_1_1_5,0,ancestral
6,NA,0.9244666483643882,3.647,NA,7.433,fresh_1,1,6,ambient,fresh,0,0.533,cm1,corn,0,corn_modern,utk,1,1,0.656,1.33,1,4.6979999999999995,0,10,4,NA,65.61111111111111,59.611111111111114,4.188888888888889,4.233333333333333,0,5.5,fresh_1_1_6,0,modern
7,NA,0.8982089142167978,5.807,NA,8.528,fresh_1,1,7,ambient,fresh,0,0.533,km5,kirkpatrick,extant,kirk_modern,nd,2,1,1.069,1.81,1,5.192,0,18,2,NA,55.19444444444444,53.611111111111114,3.3666666666666667,3.588888888888889,0.16666666666666666,5,fresh_1_1_7,0,modern
8,NA,NA,3.861,0.909,11.101,fresh_1,1,8,ambient,fresh,1,0.533,ca7,corn,20.75,corn_ancestral,utk,1,1,0.842,1.85,1,3.7319999999999998,1.26,13,1,58.5,59.80769230769231,55.07692307692308,2.8461538461538463,3.076923076923077,0.07692307692307693,5.5,fresh_1_1_8,0,ancestral
9,NA,NA,5.107,0.25,10.592,fresh_1,2,1,ambient,fresh,1,0.43033333333333335,cm6,corn,0,corn_modern,utk,1,1,0.582,1.37,1,5.838,0.727,24,4,36.5,41.76190476190476,40.69047619047619,3.4285714285714284,4.1761904761904765,0.38095238095238093,5.5,fresh_1_2_1,0,modern
10,40.2991205,0.8976003148610943,5.614,NA,8.091,fresh_1,2,2,ambient,fresh,0,0.43033333333333335,cm10,corn,0,corn_modern,nd,1,1,0.942,2.64,1,5.9750000000000005,0,19,3,NA,47.225,46.1,3.485,3.705,0.05,5.5,fresh_1_2_2,0,modern
11,NA,0.8920053013531971,3.936,NA,5.549,fresh_1,2,3,ambient,fresh,0,0.43033333333333335,cm2,corn,0,corn_modern,utk,1,1,0.978,1.98,1,3.453,0,12,2,NA,50.416666666666664,49.875,3.225,3.533333333333333,0.08333333333333333,6,fresh_1_2_3,0,modern
12,NA,NA,5.639,0.228,10.432,fresh_1,2,4,ambient,fresh,1,0.43033333333333335,ca4,corn,20.75,corn_ancestral,utk,1,1,0.456,1.69,1,5.796,0.512,23,2,51.5,46.84782608695652,45.65217391304348,3.369565217391304,3.582608695652174,0.13043478260869565,5,fresh_1_2_4,0,ancestral
13,NA,NA,6.038,0.31,9.845,fresh_1,2,5,ambient,fresh,1,0.43033333333333335,ca8,corn,15,corn_ancestral,nd,1,1,0.934,4.27,1,6.928,1.207,22,1,56.5,50.95454545454545,49.63636363636363,3.4954545454545456,4.090909090909091,0.18181818181818182,5,fresh_1_2_5,0,ancestral
14,32.99530536,0.9000596973992051,3.744,NA,5.4830000000000005,fresh_1,2,6,ambient,fresh,0,0.43033333333333335,km6,kirkpatrick,0,kirk_modern,nd,2,1,1.278,1.52,1,4.382,0,16,1,NA,50.09375,49.21875,3.19375,3.44375,0,5.5,fresh_1_2_6,0,modern
15,NA,0.9069761330255518,9.23,NA,14.134,fresh_1,2,7,ambient,fresh,0,0.43033333333333335,ka4,kirkpatrick,20,kirk_ancestral,nd,1,1,0.709,2.09,2,7.572,0,31,NA,NA,45.70967741935484,44.725806451612904,2.912903225806452,3.4096774193548387,0.12903225806451613,5,fresh_1_2_7,0,ancestral
16,NA,0.941365615555695,5.791,NA,12.359,fresh_1,2,8,ambient,fresh,0,0.43033333333333335,ca7,corn,20.75,corn_ancestral,utk,2,1,2.133,1.76,1,5.569,0,20,3,NA,53.38095238095238,51.73809523809524,2.919047619047619,3.142857142857143,0,5.5,fresh_1_2_8,0,ancestral
17,NA,0.8719972487897147,4.543,NA,6.183,fresh_1,3,1,ambient,fresh,0,0.32833333333333337,cm7,corn,0,corn_modern,utk,1,1,0.909,0.94,1,4.160942397316118,0,14,3,NA,53.38461538461539,52.07692307692308,3.3230769230769233,3.576923076923077,0.38461538461538464,4.5,fresh_1_3_1,0,modern
18,33.44378522,NA,6.081,0.099,10.188,fresh_1,3,2,ambient,fresh,1,0.32833333333333337,ca8,corn,15,corn_ancestral,nd,1,1,0.831,1.79,1,9.624,0.14,25,5,32.5,53.8,52.84,3.712,4.508,0.16,5.5,fresh_1_3_2,0,ancestral
19,NA,0.8958865301743502,5.046,NA,7.6450000000000005,fresh_1,3,3,ambient,fresh,0,0.32833333333333337,ca6,corn,20.75,corn_ancestral,utk,2,1,2.181,2.51,2,5.247976296979281,0,17,1,NA,49.78125,48.34375,4.35,4.80625,0.1875,4,fresh_1_3_3,0,ancestral
20,NA,0.8986559797935308,3.83,NA,6.102,fresh_1,3,4,ambient,fresh,0,0.32833333333333337,cm5,corn,0,corn_modern,utk,2,1,0.545,1.19,1,5.138937080792796,0,23,1,NA,51,49.88636363636363,3.368181818181818,3.8227272727272728,0.36363636363636365,5,fresh_1_3_4,0,modern
21,NA,0.881986584390416,5.055,NA,6.747,fresh_1,3,5,ambient,fresh,0,0.32833333333333337,ka6,kirkpatrick,16,kirk_ancestral,utk,3,2,1.025,1.67,1,5.795,0,20,0,NA,46.8,45.825,3.65,4,0.1,4,fresh_1_3_5,0,ancestral
22,30.94511162,NA,3.348,0.69,5.92,fresh_1,3,6,ambient,fresh,1,0.32833333333333337,cm1,corn,0,corn_modern,utk,2,1,1.532,2,1,4.3100000000000005,2.664,11,2,64.5,61.09090909090909,59.45454545454545,3.5636363636363635,3.9272727272727272,0.36363636363636365,5,fresh_1_3_6,0,modern
23,NA,0.8635238957112651,7.5,NA,9.515,fresh_1,3,7,ambient,fresh,0,0.32833333333333337,km2,kirkpatrick,0,kirk_modern,utk,1,1,0.77,1.48,1,7.567,0,25,1,NA,44.96,44.2,3.588,4.108,0.04,4.5,fresh_1_3_7,0,modern
24,NA,NA,3.552,0.323,6.236,fresh_1,3,8,ambient,fresh,1,0.32833333333333337,ca5,corn,18.75,corn_ancestral,utk,1,1,0.413,1.32,1,5.737,0.656,14,6,41.5,45.107142857142854,40.892857142857146,3.1714285714285713,3.892857142857143,0.14285714285714285,5,fresh_1_3_8,0,ancestral
25,NA,NA,2.275,0.084,3.073,fresh_1,4,1,ambient,fresh,1,0.23233333333333336,ca10,corn,16.75,corn_ancestral,nd,3,2,1.048,2.23,2,3.574,0,11,3,NA,57.72727272727273,56.77272727272727,3.909090909090909,4.372727272727273,0.2727272727272727,3,fresh_1_4_1,0,ancestral
26,NA,0.8518620326640693,5.67,NA,7.004,fresh_1,4,2,ambient,fresh,0,0.23233333333333336,ca4,corn,20.75,corn_ancestral,utk,1,1,0.88,1.88,1,6.852689623211032,0,19,1,NA,51.25,50.22222222222222,4.216666666666667,4.694444444444445,0.1111111111111111,2.5,fresh_1_4_2,0,ancestral
27,NA,0.874520220584091,7.117,NA,9.387,fresh_1,4,3,ambient,fresh,0,0.23233333333333336,km1,kirkpatrick,0,kirk_modern,utk,1,1,2.347,1.88,1,8.508000000000001,0,29,2,NA,50.10344827586207,48.724137931034484,3.6344827586206896,3.9310344827586206,0.034482758620689655,5,fresh_1_4_3,0,modern
28,NA,NA,NA,0.305,0.797,fresh_1,4,4,ambient,fresh,1,0.23233333333333336,cm8,corn,0,corn_modern,nd,2,1,1.45,1.39,1,0,0.17,0,0,30.5,NA,NA,NA,NA,NA,2.5,fresh_1_4_4,1,modern
29,NA,NA,NA,0.28,0.9570000000000001,fresh_1,4,5,ambient,fresh,1,0.23233333333333336,ca3,corn,18.75,corn_ancestral,utk,1,1,1.361,0.75,1,0,0.108,0,0,NA,NA,NA,NA,NA,NA,3.5,fresh_1_4_5,1,ancestral
30,NA,0.8516811521207021,4.198,NA,5.226000000000001,fresh_1,4,6,ambient,fresh,0,0.23233333333333336,cm4,corn,0,corn_modern,utk,1,1,0.2,1.44,1,4.746553395528888,0,19,3,NA,51.23529411764706,50.55882352941177,3.7411764705882353,4.229411764705882,0.35294117647058826,2,fresh_1_4_6,0,modern
31,NA,0.8480765396955865,8.386,NA,10.335999999999999,fresh_1,4,7,ambient,fresh,0,0.23233333333333336,cm3,corn,0,corn_modern,utk,1,1,1.507,1.92,1,8.331902772010398,0,20,3,NA,56.23684210526316,55.421052631578945,4.421052631578948,4.910526315789474,0.21052631578947367,4,fresh_1_4_7,0,modern
32,NA,NA,NA,NA,NA,fresh_1,4,8,ambient,fresh,0,0.23233333333333336,b2,blackwater,10,blackwater,nd,1,1,0.375,2.33,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_1_4_8,1,modern
33,NA,NA,NA,NA,NA,fresh_1,5,1,ambient,fresh,1,0.11900000000000004,ca2,corn,18.75,corn_ancestral,utk,2,1,1.395,1.48,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_1_5_1,1,ancestral
34,NA,NA,NA,NA,NA,fresh_1,5,2,ambient,fresh,1,0.11900000000000004,cm7,corn,0,corn_modern,utk,1,1,0.347,1.11,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_1_5_2,1,modern
35,NA,NA,NA,NA,NA,fresh_1,5,3,ambient,fresh,0,0.11900000000000004,ca9,corn,14.25,corn_ancestral,nd,2,1,1.039,1.9,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_1_5_3,1,ancestral
36,NA,NA,NA,NA,NA,fresh_1,5,4,ambient,fresh,0,0.11900000000000004,ka2,kirkpatrick,14,kirk_ancestral,nd,1,1,2.404,1.84,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_1_5_4,1,ancestral
37,32.41868834,NA,0.796,0.004,1.187,fresh_1,5,5,ambient,fresh,1,0.11900000000000004,cm9,corn,0,corn_modern,nd,1,1,1.095,4.12,1,2.238,0,11,2,NA,44.36363636363637,43.13636363636363,2.8363636363636364,3.1090909090909093,0,5,fresh_1_5_5,0,modern
