"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"2018/01/01","00:00","0.413","0.044","-0.04","-0.195","-0.192","-0.343","-0.437","-1.105","0"
"2018/02/01","00:00","0.465","0.163","0.094","-0.043","-0.048","-0.189","-0.262","-0.58","0"
"2018/03/01","00:00","0.843","0.296","0.228","0.056","0.074","-0.08","-0.152","-1.261","0"
"2018/04/01","00:00","0.782","0.29","0.222","0.079","0.076","-0.07","-0.124","-0.403","0"
"2018/05/01","00:00","0.626","0.364","0.303","0.156","0.151","0","-0.049","-0.239","0"
"2018/06/01","00:00","0.702","0.485","0.403","0.259","0.251","0.1","0.052","-0.253","0"
"2018/07/01","00:00","0.733","0.466","0.401","0.247","0.249","0.097","0.036","-0.317","0"
"2018/08/01","00:00","0.68","0.408","0.356","0.21","0.205","0.054","0","-0.208","0"
"2018/09/01","00:00","0.868","0.607","0.525","0.376","0.37","0.215","0.148","-0.135","0"
"2018/10/01","00:00","0.63","0.431","0.377","0.2","0.221","0.066","-0.019","-0.619","0"
"2018/11/01","00:00","0.794","0.357","0.26","0.109","0.108","-0.043","-0.128","-0.42","0"
"2018/12/01","00:00","0.747","0.369","0.298","0.155","0.15","0.003","-0.065","-0.339","0"
